Epoch,Time(s),Loss,F1
00000,33.7941,0.8248,0.0289
00001,33.4766,0.5444,0.0113
00002,33.2037,0.4028,0.0007
00003,32.6273,0.3222,0.0003
00004,32.2724,0.2693,0.0000
00005,33.0007,0.2323,0.0000
00006,32.8978,0.2078,0.0000
00007,32.7329,0.1913,0.0000
00008,32.6804,0.1780,0.0002
00009,32.5403,0.1666,0.0005
00010,32.3900,0.1585,0.0019
00011,32.2880,0.1576,0.0205
00012,32.1411,0.1647,0.0731
00013,32.5827,0.1683,0.0297
00014,32.4781,0.1642,0.0064
00015,32.4765,0.1591,0.0017
00016,32.4390,0.1574,0.0007
00017,32.3655,0.1584,0.0005
00018,32.8278,0.1593,0.0005
00019,32.9153,0.1588,0.0008
